FilmID,Title,ReleaseDate,DirectorID,GenreID,RunTimeMinutes,OscarWins
106,The Abyss,09/08/1989,15,3,140,1
107,Star Trek: Insurrection,11/12/1998,68,3,103,0
108,Who Framed Roger Rabbit?,22/06/1988,20,7,103,4
109,Sleepy Hollow,19/11/1999,28,10,105,1
110,xXx,09/08/2002,32,4,124,0
111,Die Hard 2,04/07/1990,69,4,124,0
112,The Long Kiss Goodnight,29/11/1996,69,4,120,0
113,Apollo 13,30/06/1995,40,13,140,2
114,Saving Private Ryan,24/07/1998,4,5,170,5
115,Fight Club,15/10/1999,70,9,139,0
116,The Matrix,11/06/1999,39,3,136,4
117,Total Recall,01/06/1990,72,3,113,1
118,Cliffhanger,25/06/1993,69,4,113,0
119,Clear and Present Danger,03/08/1994,73,9,141,0
120,GoldenEye,24/11/1995,54,9,130,0
121,The Black Dahlia,15/09/2006,59,14,122,0
122,The Truman Show,05/06/1998,36,2,103,0
123,Event Horizon,15/08/1997,74,3,96,0
124,The Bourne Identity,14/06/2002,52,9,118,0
125,Hellboy,02/04/2004,71,4,122,0
126,Starsky & Hutch,19/03/2004,75,7,101,0
127,Intolerable Cruelty,10/10/2003,5,7,100,0
128,300,23/03/2007,76,8,117,0
129,Star Trek: Nemesis,03/01/2003,77,3,116,0
130,Superman,10/12/1978,30,8,143,0
131,Crimson Tide,12/05/1995,78,9,116,0
132,Deja Vu,22/11/2006,78,9,126,0
133,Man On Fire,21/04/2004,78,9,146,0
134,Enemy of the State,26/12/1998,78,9,132,0
135,Kill Bill: Vol. 1,17/10/2003,79,17,111,0
136,Alien 3,22/05/1992,70,3,115,0
137,Shanghai Noon,26/05/2000,80,17,110,0
138,Kill Bill: Vol. 2,23/04/2004,79,17,136,0
139,Blade II,22/03/2002,71,4,116,0
140,Flags of our Fathers,20/10/2006,10,5,132,0
141,Casino,23/02/1996,9,14,178,0
142,Robin Hood: Prince of Thieves,14/06/1991,17,8,155,0
143,Shrek,18/05/2001,67,11,90,1
144,Shanghai Knights,07/02/2003,81,17,114,0
145,Indiana Jones and the Last Crusade,24/05/1989,4,8,127,1
146,Star Trek: First Contact,22/11/1996,68,3,111,0
147,Blade,21/08/1998,82,12,120,0
148,Patriot Games,05/06/1992,73,9,117,0
149,The Fugitive,06/08/1993,83,9,130,1
150,The Prestige,20/10/2006,27,18,130,0
151,The Last of the Mohicans,25/09/1992,34,8,112,1
152,Apocalypto,08/12/2006,65,8,138,0
153,Wedding Crashers,15/07/2005,81,7,119,0
154,Back to the Future Part III,25/05/1990,20,3,118,0
155,Back to the Future Part II,22/11/1989,20,3,108,0
156,Licence to Kill,13/06/1989,84,9,133,0
157,The Living Daylights,27/06/1987,84,9,131,0
158,Sin City,01/04/2005,85,14,124,0
159,Serenity,07/10/2005,86,3,119,0
160,Star Trek: Generations,18/11/1994,87,3,118,0
161,Never Say Never Again,07/10/1983,88,9,134,0
162,Star Trek: The Motion Picture,07/12/1979,89,3,132,0
163,Rush Hour,04/12/1998,57,4,97,0
164,Lethal Weapon 3,14/08/1992,30,4,118,0
165,Star Wars: Episode VI - Return of the Jedi,25/05/1983,90,3,132,0
166,A History of Violence,23/09/2005,91,2,96,0
167,Moonraker,29/06/1979,92,9,126,0
168,Get Shorty,20/10/1995,31,14,105,0
169,The Assassination of Jesse James by the Coward Robert Ford,21/09/2007,93,1,159,0
170,Million Dollar Baby,14/01/2005,10,22,132,4
171,Seven,22/09/1995,70,9,127,0
172,The Hunt For Red October,02/03/1990,58,9,134,1
173,Ghostbusters,07/06/1984,94,7,107,0
174,Star Trek V: The Final Frontier,09/06/1989,95,3,106,0
175,Indiana Jones and the Temple of Doom,23/05/1984,4,8,118,1
176,Blade Runner,25/06/1982,51,3,116,0
177,Die Hard,15/07/1988,58,4,132,0
178,For Your Eyes Only,24/06/1981,84,9,127,0
179,Octopussy,06/06/1983,84,9,131,0
180,Star Trek VI: The Undiscovered Country,06/12/1991,96,3,113,0
181,The Running Man,13/11/1987,97,3,101,0
182,Open Range,15/08/2003,98,1,139,0
183,Kindergarten Cop,01/02/1991,94,7,111,0
184,"O Brother, Where Art Thou?",15/09/2000,5,7,107,0
185,Goodfellas,19/09/1990,9,14,146,1
186,The Passion of the Christ,26/03/2004,65,2,126,0
187,The Untouchables,03/06/1987,59,14,119,1
188,Schindler's List,15/12/1993,4,13,197,7
189,Anchorman: The Legend of Ron Burgundy,10/09/2004,63,7,95,0
190,Scarface,09/12/1983,59,14,170,0
191,Star Trek IV: The Voyage Home,26/11/1986,99,3,122,0
192,King Kong,17/12/1976,100,8,134,0
193,Star Wars: Episode V - The Empire Strikes Back,21/05/1980,88,3,124,2
194,Gandhi,02/12/1982,101,19,188,8
195,Equilibrium,06/12/2002,102,3,107,0
196,From Dusk Till Dawn,19/01/1996,103,10,108,0
197,Raiders of the Lost Ark,12/06/1981,4,8,115,5
199,Back to the Future,03/07/1985,20,3,116,1
200,Dances with Wolves,19/10/1990,98,1,180,7
201,Star Trek III: The Search For Spock,01/06/1984,99,3,105,0
202,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,02/11/2006,104,7,84,0
203,Raging Bull,14/11/1980,9,22,129,2
204,Aliens,18/07/1986,15,3,137,2
205,Hero,24/10/2002,105,17,99,0
206,Hot Fuzz,14/02/2007,106,7,121,0
207,Leon,14/09/1994,56,9,110,0
208,High Plains Drifter,22/08/1973,10,1,105,0
209,Collateral,06/08/2004,34,9,120,0
210,American Beauty,08/09/1999,61,2,122,5
211,Lethal Weapon,06/03/1987,30,4,110,0
212,Lethal Weapon 2,07/07/1989,30,4,114,0
213,"Crouching Tiger, Hidden Dragon",06/07/2000,8,17,120,4
214,Brokeback Mountain,09/12/2005,8,2,134,3
215,Hulk,20/06/2003,8,4,138,0
216,Sense and Sensibility,13/12/1995,8,6,136,1
217,Ride with the Devil,26/11/1999,8,1,138,0
218,Twins,09/12/1988,94,7,105,0
219,28 Days Later,01/11/2002,108,10,113,0
220,The Beach,11/02/2000,108,2,115,0
221,Trainspotting,23/02/1996,108,2,93,0
222,The Spy Who Loved Me,07/07/1977,92,9,125,0
223,Downfall,16/09/2004,109,5,155,0
224,Letters from Iwo Jima,09/12/2006,10,5,141,1
225,Star Trek II: The Wrath of Khan,04/06/1982,96,3,113,0
226,House of Flying Daggers,19/05/2004,105,17,119,0
227,Das Boot,17/09/1981,25,5,149,0
228,Casino Royale,28/04/1967,124,9,131,0
229,Star Wars: Episode IV: A New Hope,25/05/1977,7,3,121,7
230,E.T.: The Extra-Terrestrial,11/06/1982,4,3,115,4
231,Amelie,25/04/2001,111,7,123,0
232,You Only Live Twice,12/06/1967,92,9,117,0
233,Thunderball,09/12/1965,112,9,130,1
234,Alien,25/05/1979,51,3,117,1
236,On Her Majesty's Secret Service,18/12/1969,113,9,140,0
237,Pulp Fiction,14/10/1994,79,14,154,1
238,Rumble in the Bronx,21/01/1995,114,17,106,0
239,Diamonds are Forever,14/12/1971,115,9,120,0
240,Fargo,08/03/1996,5,14,98,2
241,Live and Let Die,27/06/1973,115,9,121,0
242,The Man with the Golden Gun,19/12/1974,115,9,125,0
243,"Good Night, and Good Luck",07/10/2005,116,2,93,0
244,Pale Rider,26/06/1985,10,1,116,0
245,The Terminator,26/10/1984,15,3,108,0
246,Around the World in 80 Days,17/10/1956,117,8,183,5
249,The Usual Suspects,25/08/1995,14,14,106,2
250,Memento,05/09/2000,27,9,113,0
251,Shaun of the Dead,09/04/2004,106,7,99,0
252,Four Weddings and a Funeral,13/05/1994,26,6,117,0
253,Night Watch,08/07/2004,119,12,114,0
254,Goldfinger,17/09/1964,115,9,110,1
255,The Lives of Others,23/03/2006,120,2,137,1
256,From Russia with Love,10/10/1963,112,9,115,0
257,Reservoir Dogs,23/10/1992,79,14,99,0
258,Dr. No,05/10/1962,112,9,109,0
259,King Kong,07/04/1933,121,8,100,0
260,Seven Samurai,26/04/1954,122,4,207,0
261,Super Size Me,10/09/2004,123,24,98,0
262,Kagemusha,26/04/1980,122,2,180,0
263,Ran,31/05/1985,122,2,162,1
264,Sunshine,06/04/2007,108,3,107,0
265,Once Were Warriors,14/04/1995,29,2,102,0
266,Flushed Away,03/11/2006,125,11,85,0
267,Indiana Jones and the Kingdom of the Crystal Skull,22/05/2008,4,8,122,0
270,Transformers: Age of Extinction,27/06/2014,18,3,165,0
271,The Hobbit: The Battle of the Five Armies,01/12/2014,12,12,174,0
272,Guardians of the Galaxy,01/08/2014,128,3,122,0
273,Maleficent,28/05/2014,130,12,98,0
274,X-Men: Days of Future Past,22/05/2014,14,4,131,0
275,Captain America: The Winter Soldier,04/04/2014,132,4,136,0
276,The Hunger Games: Mockingjay Part 1,10/11/2014,23,8,123,0
277,The Amazing Spider-Man 2,10/04/2014,135,4,141,0
278,Dawn of the Planet of the Apes,11/07/2014,137,4,130,0
279,Interstellar,07/11/2014,27,3,169,1
280,Frozen,27/11/2013,139,11,102,2
281,Iron Man 3,03/05/2013,140,4,130,0
282,Despicable Me 2,03/07/2013,141,11,98,0
283,The Hobbit: The Desolation of Smaug,13/12/2013,12,12,161,0
284,The Hunger Games: Catching Fire,11/11/2013,23,8,146,0
285,Fast & Furious 6,07/05/2013,142,4,130,0
286,Monsters University,21/06/2013,143,11,104,0
287,Gravity,04/10/2013,38,3,91,7
288,Man of Steel,14/06/2013,76,4,143,0
289,Thor: The Dark World,22/10/2013,144,4,112,0
290,The Avengers,04/05/2012,86,4,143,0
291,Skyfall,26/10/2012,61,9,143,2
292,The Dark Knight Rises,20/07/2012,27,4,165,0
293,The Hobbit: An Unexpected Journey,14/12/2012,12,12,169,0
294,Ice Age: Continental Drift,27/06/2012,149,11,88,0
295,The Twilight Saga: Breaking Dawn - Part 2,16/11/2012,150,28,115,0
296,The Amazing Spider-Man,03/07/2012,135,4,136,0
297,Madagascar 3: Europe's Most Wanted,08/06/2012,151,11,93,0
298,The Hunger Games,23/03/2012,152,3,142,0
299,Men in Black 3,25/05/2012,31,3,106,0
300,Harry Potter and the Deathly Hallows - Part 2,15/07/2011,19,12,130,0
301,Transformers: Dark of the Moon,29/06/2011,18,3,157,0
302,Pirates of the Caribbean: On Stranger Tides,20/05/2011,153,8,137,0
303,The Twilight Saga: Breaking Dawn - Part 1,18/11/2011,150,28,117,0
304,Mission: Impossible - Ghost Protocol,16/12/2011,24,9,133,0
305,Kung Fu Panda 2,26/05/2011,154,11,90,0
306,Fast Five,29/04/2011,142,4,130,0
307,The Hangover Part II,26/05/2011,75,7,102,0
308,The Smurfs,29/07/2011,155,11,103,0
309,Cars 2,24/06/2011,156,11,106,0
310,Toy Story 3,18/06/2010,157,11,103,2
311,Alice in Wonderland,25/02/2010,28,12,108,2
312,Harry Potter and the Deathly Hallows - Part 1,19/11/2010,19,12,146,0
313,Inception,16/07/2010,27,3,148,4
314,Shrek Forever After,21/05/2010,158,11,93,0
315,The Twilight Saga: Eclipse,30/06/2010,159,28,123,0
316,Iron Man 2,07/05/2010,160,4,125,0
317,Tangled,24/11/2010,161,11,100,0
318,Despicable Me,09/07/2010,141,11,95,0
319,How to Train Your Dragon,26/03/2010,162,11,98,0
320,Avatar,17/12/2009,15,3,161,3
321,Harry Potter and the Half-Blood Prince,15/07/2009,19,12,153,0
322,Ice Age: Dawn of the Dinosaurs,01/07/2009,163,11,94,0
323,Transformers: Revenge of the Fallen,19/06/2009,18,3,150,0
324,2012,13/11/2009,42,25,158,0
325,Up,29/05/2009,46,11,96,2
326,The Twilight Saga: New Moon,20/11/2009,164,28,130,0
327,Sherlock Holmes,26/12/2009,165,18,128,0
328,Angels & Demons,15/05/2009,40,18,138,0
329,The Hangover,05/06/2009,75,7,100,0
330,The Dark Knight,24/07/2008,27,4,152,2
332,Kung Fu Panda,06/06/2008,166,11,92,0
333,Hancock,02/07/2008,167,4,92,0
334,Mamma Mia!,30/06/2008,168,20,109,0
335,Madagascar: Escape 2 Africa,07/11/2008,151,11,89,0
336,Quantum of Solace,31/10/2008,169,9,106,0
337,Iron Man,02/05/2008,160,4,126,0
338,WALL-E,27/06/2008,170,11,98,1
339,The Chronicles of Narnia: Prince Caspian,16/05/2008,67,12,150,0
340,National Treasure: Book of Secrets,21/12/2007,171,8,124,0
341,Frost/Nixon,15/10/2008,40,2,122,0
342,Ice Age: The Meltdown,31/03/2006,163,11,91,0
343,Night at the Museum,22/12/2006,172,8,108,0
344,Cars,09/06/2006,156,11,116,0
345,Happy Feet,17/11/2006,173,11,108,1
346,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",08/12/2005,67,12,145,1
347,Madagascar,27/05/2005,151,11,86,0
348,Hitch,11/02/2005,174,6,118,0
349,The Incredibles,05/11/2004,24,11,115,2
350,Meet the Fockers,22/12/2004,175,7,115,0
351,Shark Tale,01/10/2004,176,11,90,0
352,Finding Nemo,30/05/2003,170,11,100,1
353,Terminator 3: Rise of the Machines,02/07/2003,177,3,109,0
354,Bad Boys II,18/07/2003,18,4,147,0
355,Signs,02/08/2002,62,18,107,0
356,Ice Age,15/03/2002,163,11,81,0
357,My Big Fat Greek Wedding,19/04/2002,184,7,95,0
358,The Mummy Returns,04/05/2001,186,8,130,0
359,Jurassic Park III,18/07/2001,187,8,92,0
360,Hannibal,09/02/2001,51,9,132,0
361,What Women Want,15/12/2000,188,7,127,0
362,Dinosaur,19/05/2000,189,11,82,0
363,How the Grinch Stole Christmas,17/11/2000,40,7,104,1
364,Meet the Parents,06/10/2000,175,7,108,0
365,What Lies Beneath,21/07/2000,20,10,130,0
366,Toy Story 2,24/11/1999,156,11,95,0
367,Tarzan,16/06/1999,190,11,88,1
368,The Mummy,07/05/1999,186,8,125,0
369,Notting Hill,21/05/1999,191,27,124,0
370,Austin Powers: The Spy Who Shagged Me,11/06/1999,175,7,96,0
371,Godzilla,20/05/1998,42,3,139,0
372,There's Something About Mary,15/07/1998,192,7,119,0
373,A Bug's Life,25/11/1998,156,11,95,0
374,Mulan,19/06/1998,193,11,87,0
375,Dr. Dolittle,26/06/1998,194,7,85,0
376,Shakespeare in Love,03/12/1998,195,27,123,7
377,The Lost World: Jurassic Park,23/05/1997,4,8,129,0
378,Air Force One,25/07/1997,25,9,124,0
380,Liar Liar,21/03/1997,16,7,88,0
381,My Best Friend's Wedding,20/06/1997,196,27,104,0
382,The Full Monty,29/08/1997,197,7,91,1
383,Twister,17/05/1996,198,25,113,0
384,The Hunchback of Notre Dame,21/06/1996,199,11,91,0
385,101 Dalmatians,27/11/1996,200,26,103,0
386,Ransom,08/11/1996,40,9,121,0
387,The Nutty Professor,28/06/1996,16,7,95,1
388,Jerry Maguire,13/12/1996,201,2,139,1
389,Eraser,21/06/1996,202,4,114,0
390,Toy Story,22/11/1995,156,11,81,0
391,Pocahontas,23/06/1995,203,11,82,2
392,Batman Forever,16/06/1995,204,4,122,0
393,Casper,26/05/1995,205,7,101,0
394,Jumanji,15/12/1995,187,8,104,0
395,The Lion King,15/06/1994,379,11,88,2
396,The Mask,29/07/1994,202,7,101,0
397,Speed,10/06/1994,198,4,115,2
398,The Flintstones,27/05/1994,208,7,91,0
399,Dumb and Dumber,16/12/1994,192,7,107,0
400,Donnie Brasco,28/02/1997,26,14,126,0
401,Interview with the Vampire: The Vampire Chronicles,11/11/1994,209,10,122,0
403,Mrs. Doubtfire,24/11/1993,41,7,125,1
404,The Firm,30/06/1993,210,9,154,0
405,Indecent Proposal,07/04/1993,211,2,118,0
406,Sleepless in Seattle,25/06/1993,212,6,105,0
407,Philadelphia,22/12/1993,213,2,126,2
408,The Pelican Brief,17/12/1993,214,9,141,0
409,Aladdin,25/11/1992,215,11,90,2
410,The Bodyguard,25/11/1992,216,9,129,0
411,Home Alone 2: Lost in New York,20/11/1992,41,26,120,0
412,Basic Instinct,08/05/1992,72,9,128,0
413,Batman Returns,19/06/1992,28,4,126,0
414,A Few Good Men,11/12/1992,217,2,138,0
415,Sister Act,29/05/1992,218,7,100,0
416,Bram Stoker's Dracula,13/11/1992,219,10,128,3
417,Wayne's World,14/02/1992,220,7,95,0
418,Beauty and the Beast,22/11/1991,199,11,84,2
419,Hook,11/12/1991,4,8,144,0
420,The Silence of the Lambs,14/02/1991,213,9,118,5
421,JFK,20/12/1991,221,9,188,2
422,The Addams Family,22/11/1991,31,7,99,0
423,Cape Fear,13/11/1991,9,9,128,0
424,Hot Shots!,31/07/1991,222,7,84,0
425,City Slickers,07/06/1991,223,7,112,1
426,Ghost,13/07/1990,224,6,127,2
427,Home Alone,16/11/1990,41,7,102,0
428,Pretty Woman,23/03/1990,225,6,119,0
430,Teenage Mutant Ninja Turtles,30/03/1990,226,4,93,0
431,Batman,23/06/1989,28,4,126,1
432,Look Who's Talking,13/10/1989,227,7,96,0
433,Dead Poets Society,02/06/1989,36,2,128,1
434,"Honey, I Shrunk the Kids",23/06/1989,187,8,94,0
435,Ghostbusters II,16/06/1989,94,7,108,0
436,The Little Mermaid,17/11/1989,215,11,82,2
437,Born on the Fourth of July,20/12/1989,221,19,145,2
438,Rain Man,16/12/1988,228,2,133,4
439,Coming to America,29/06/1988,229,7,117,0
440,Big,03/12/1988,230,7,104,0
441,Crocodile Dundee II,25/05/1988,231,8,112,0
442,The Naked Gun: From the Files of Police Squad!,02/12/1988,232,7,85,0
443,Cocktail,29/07/1988,233,6,103,0
444,Beetlejuice,30/03/1988,28,7,92,1
445,Three Men and a Baby,25/11/1987,99,7,104,0
446,Fatal Attraction,18/09/1987,211,9,119,0
447,Beverly Hills Cop II,20/05/1987,78,4,103,0
448,"Good Morning, Vietnam",23/12/1987,228,7,120,0
449,Moonstruck,18/12/1987,234,6,102,3
450,The Secret of My Success,10/04/1987,235,7,111,0
451,Stakeout,05/08/1987,236,7,117,0
452,The Witches of Eastwick,12/06/1987,173,7,118,0
453,Top Gun,16/05/1986,78,4,110,1
454,Crocodile Dundee,26/09/1986,237,7,98,0
455,Platoon,19/12/1986,221,5,120,4
456,"The Karate Kid, Part II",20/06/1986,238,2,113,0
458,The Golden Child,12/12/1986,239,8,94,0
460,Ferris Bueller's Day Off,11/06/1986,240,7,103,0
461,Rambo: First Blood Part II,22/05/1985,241,4,96,0
462,Rocky IV,27/11/1985,242,22,91,0
463,The Color Purple,18/12/1985,4,2,153,0
464,Out Of Africa,18/12/1985,210,6,161,7
465,Cocoon,21/06/1985,40,3,117,2
466,The Jewel of the Nile,11/12/1985,243,8,107,0
468,The Goonies,07/06/1985,30,8,114,0
469,Spies Like Us,06/12/1985,229,7,102,0
470,Beverly Hills Cop,05/12/1984,244,4,105,0
472,Gremlins,08/06/1984,245,7,106,0
473,The Karate Kid,22/06/1984,238,2,127,0
474,Police Academy,23/03/1984,246,7,96,0
475,Footloose,17/02/1984,235,2,110,0
476,Romancing the Stone,30/03/1984,20,8,106,0
477,Terms of Endearment,09/12/1983,247,2,132,5
478,Flashdance,15/04/1983,211,2,98,1
479,Trading Places,10/06/1983,229,7,116,0
480,WarGames,03/06/1983,236,9,114,0
481,Sudden Impact,09/12/1983,10,9,117,0
482,Staying Alive,15/07/1983,242,2,93,0
485,Tootsie,17/12/1982,210,7,116,1
486,An Officer and a Gentleman,13/08/1982,248,2,122,2
487,Rocky III,28/05/1982,242,22,100,0
488,Porky's,16/04/1982,249,7,98,0
489,48 Hrs.,08/12/1982,250,4,96,0
490,Poltergeist,04/06/1982,251,10,114,0
492,Annie,18/06/1982,252,20,128,0
494,Superman II,09/04/1981,313,4,127,0
495,Arthur,17/07/1981,253,7,97,2
497,The Cannonball Run,19/06/1981,254,7,95,0
498,Chariots of Fire,30/03/1981,255,22,124,4
500,Time Bandits,10/07/1981,256,12,113,0
501,9 to 5,19/12/1980,257,7,110,0
502,Stir Crazy,12/12/1980,258,7,111,0
503,Airplane!,02/07/1980,222,7,87,0
504,Any Which Way You Can,17/12/1980,259,4,116,0
505,Private Benjamin,10/10/1980,260,7,109,0
507,Smokey and the Bandit II,15/08/1980,254,7,100,0
509,The Blues Brothers,20/06/1980,229,7,132,0
510,Kramer vs. Kramer,19/12/1979,261,2,105,5
511,The Amityville Horror,27/07/1979,262,10,118,0
512,Rocky II,15/06/1979,242,2,119,0
513,Apocalypse Now,15/08/1979,219,5,153,2
514,10,05/10/1979,263,27,122,0
515,The Jerk,14/12/1979,264,7,94,0
516,The Muppet Movie,31/05/1979,265,26,97,0
517,Grease,16/06/1978,266,20,110,0
518,National Lampoon's Animal House,28/07/1978,229,7,109,0
519,Every Which Way but Loose,20/12/1978,267,4,114,0
522,Jaws 2,16/06/1978,268,9,116,0
523,Dawn of the Dead,01/09/1978,269,10,127,0
524,Revenge of the Pink Panther,19/07/1978,263,7,98,0
525,The Deer Hunter,08/12/1978,270,2,183,5
526,Smokey and the Bandit,27/05/1977,254,7,96,0
527,Close Encounters of the Third Kind,16/11/1977,4,3,135,1
529,Saturday Night Fever,14/12/1977,236,2,118,0
531,A Bridge Too Far,15/06/1977,101,5,176,0
532,The Deep,17/06/1977,271,8,124,0
533,Annie Hall,20/04/1977,272,27,93,4
534,Rocky,21/11/1976,238,2,119,3
537,All the President's Men,09/04/1976,214,9,138,4
538,The Omen,06/06/1976,30,10,111,1
540,Silver Streak,08/12/1976,273,7,114,0
541,The Enforcer,22/12/1976,267,4,96,0
542,Midway,18/06/1976,274,5,131,0
543,Jaws,20/06/1975,4,9,124,3
544,The Rocky Horror Picture Show,14/08/1975,275,20,100,0
545,One Flew Over the Cuckoo's Nest,19/11/1975,276,2,133,5
546,Dog Day Afternoon,21/09/1975,277,14,125,1
547,Shampoo,11/02/1975,278,2,110,1
548,The Return of the Pink Panther,21/05/1975,263,7,114,0
553,Blazing Saddles,07/02/1974,279,7,92,0
554,The Towering Inferno,14/12/1974,100,25,165,3
556,Young Frankenstein,15/12/1974,279,7,105,0
557,Earthquake,15/11/1974,281,25,121,1
558,The Godfather Part II,12/12/1974,219,14,202,6
559,Airport 1975,18/10/1974,274,25,106,0
561,The Longest Yard,21/08/1974,282,7,121,0
563,The Sting,26/12/1973,283,14,129,7
564,The Exorcist,26/12/1973,284,10,121,2
565,American Graffiti,02/08/1973,7,2,112,0
566,Papillon,16/12/1973,285,14,150,0
